iter	Passed	Remaining
0	0	82
1	1	72
2	2	69
3	2	65
4	3	65
5	4	65
6	4	65
7	5	65
8	6	65
9	7	64
10	7	64
11	8	63
12	9	63
13	10	62
14	10	62
15	11	61
16	12	60
17	13	59
18	13	59
19	14	58
20	15	57
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	20	54
27	20	53
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	31	45
41	31	43
42	32	43
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	41	34
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
