iter	Passed	Remaining
0	1	1230
1	2	1014
2	2	965
3	3	955
4	5	1012
5	6	1040
6	7	1012
7	7	985
8	8	966
9	9	948
10	10	932
11	11	924
12	12	912
13	12	901
14	13	896
15	14	889
16	15	883
17	16	875
18	16	868
19	17	867
20	18	863
21	19	864
22	20	863
23	21	862
24	22	858
25	22	854
26	23	847
27	24	842
28	25	840
29	25	836
30	26	834
31	27	832
32	28	829
33	29	827
34	29	823
35	30	820
36	31	819
37	32	816
38	33	816
39	34	816
40	34	816
41	35	815
42	36	814
43	37	813
44	38	811
45	39	808
46	39	806
47	40	805
48	41	803
49	42	801
50	42	799
51	43	797
52	44	795
53	45	794
54	46	792
55	46	790
56	47	789
57	48	789
58	49	787
59	50	785
60	50	782
61	51	780
62	52	778
63	53	775
64	53	772
65	54	771
66	55	770
67	56	769
68	56	767
69	57	765
70	58	763
71	59	760
72	59	758
73	60	756
74	61	754
75	61	753
76	62	752
77	63	751
78	64	752
79	65	751
80	66	749
81	66	747
82	67	742
83	67	740
84	68	739
85	69	739
86	70	738
87	71	736
88	71	734
89	72	732
90	73	731
91	73	730
92	74	728
93	75	727
94	76	726
95	77	726
96	77	724
97	78	723
98	79	722
99	80	722
100	80	720
101	81	719
102	83	725
103	84	724
104	85	725
105	85	723
106	86	722
107	87	720
108	87	719
109	88	717
110	89	716
111	90	714
112	90	712
113	91	711
114	92	710
115	93	709
116	93	707
117	94	706
118	95	705
119	96	704
120	96	703
121	97	701
122	98	700
123	99	700
124	100	700
125	100	699
126	101	697
127	102	696
128	102	694
129	103	693
130	104	691
131	104	689
132	105	687
133	106	685
134	106	685
135	107	685
136	108	684
137	109	683
138	110	682
139	111	682
140	111	681
141	112	679
142	113	679
143	114	678
144	114	676
145	115	675
146	116	673
147	116	671
148	117	670
149	118	668
150	118	666
151	119	665
152	119	664
153	120	662
154	121	661
155	121	659
156	122	659
157	123	658
158	124	657
159	125	656
160	125	654
161	126	653
162	127	652
163	127	651
164	128	650
165	129	649
166	129	648
167	130	647
168	131	645
169	132	644
170	132	643
171	133	642
172	134	641
173	134	640
174	135	639
175	136	639
176	137	638
177	138	637
178	138	636
179	139	635
180	140	634
181	140	633
182	141	632
183	142	631
184	143	630
185	143	629
186	144	628
187	145	626
188	145	625
189	146	624
190	147	623
191	147	622
192	148	621
193	149	620
194	150	619
195	150	618
196	151	617
197	152	617
198	153	617
199	154	616
200	154	615
201	155	614
202	156	612
203	156	611
204	157	610
205	158	609
206	158	608
207	159	607
208	160	606
209	161	605
210	161	605
211	162	603
212	163	603
213	163	602
214	164	601
215	165	600
216	166	599
217	167	599
218	167	598
219	168	597
220	169	596
221	169	595
222	170	594
223	171	592
224	171	591
225	172	590
226	173	589
227	173	588
228	174	587
229	175	586
230	175	584
231	176	583
232	176	582
233	177	581
234	178	579
235	178	579
236	179	578
237	180	578
238	181	577
239	182	576
240	182	575
241	183	575
242	184	574
243	185	573
244	186	573
245	186	572
246	187	571
247	188	570
248	189	570
249	189	569
250	190	568
251	191	568
252	192	567
253	192	566
254	193	565
255	194	564
256	194	563
257	195	562
258	196	561
259	197	561
260	198	560
261	198	559
262	199	558
263	200	558
264	200	557
265	201	556
266	202	555
267	203	554
268	203	553
269	204	552
270	205	551
271	205	551
272	206	550
273	207	549
274	208	548
275	208	547
276	209	546
277	210	545
278	211	545
279	211	544
280	212	543
281	213	543
282	213	542
283	214	541
284	215	540
285	216	539
286	216	538
287	217	537
288	218	536
289	218	535
290	219	535
291	220	534
292	221	533
293	221	532
294	222	531
295	223	530
296	223	529
297	224	528
298	225	528
299	225	527
300	226	526
301	227	525
302	228	525
303	229	524
304	229	523
305	230	522
306	231	521
307	231	521
308	232	520
309	233	519
310	234	518
311	234	517
312	235	516
313	236	515
314	236	514
315	237	514
316	238	513
317	239	512
318	239	512
319	240	511
320	241	510
321	242	509
322	242	509
323	243	508
324	244	507
325	245	506
326	245	505
327	246	505
328	247	504
329	247	503
330	248	502
331	249	501
332	250	501
333	250	500
334	251	499
335	252	498
336	252	497
337	253	496
338	254	496
339	255	495
340	256	494
341	256	494
342	257	493
343	258	492
344	259	491
345	259	491
346	260	490
347	261	489
348	261	488
349	262	487
350	263	486
351	263	485
352	264	484
353	265	483
354	265	482
355	266	481
356	267	480
357	267	480
358	268	479
359	269	478
360	269	477
361	270	477
362	271	476
363	272	475
364	273	474
365	273	474
366	274	473
367	275	472
368	276	472
369	276	471
370	277	470
371	278	469
372	279	469
373	279	468
374	280	467
375	281	466
376	281	465
377	282	464
378	283	463
379	284	463
380	284	462
381	285	462
382	286	461
383	287	460
384	287	459
385	288	459
386	289	458
387	290	457
388	290	456
389	291	455
390	292	454
391	292	454
392	293	453
393	294	452
394	294	451
395	295	450
396	295	449
397	296	448
398	297	447
399	297	446
400	298	445
401	299	445
402	299	444
403	300	443
404	301	443
405	302	442
406	302	441
407	303	440
408	304	439
409	305	438
410	305	438
411	306	437
412	307	436
413	308	436
414	309	435
415	309	434
416	310	433
417	311	433
418	311	432
419	312	431
420	312	430
421	313	429
422	314	429
423	315	428
424	316	427
425	316	426
426	317	425
427	317	424
428	318	424
429	319	423
430	319	422
431	320	421
432	321	420
433	321	419
434	322	418
435	323	418
436	323	417
437	324	416
438	325	415
439	325	414
440	326	413
441	326	412
442	327	411
443	328	411
444	328	410
445	329	409
446	330	409
447	331	408
448	332	407
449	332	406
450	333	405
451	334	405
452	334	404
453	335	403
454	336	402
455	336	401
456	337	400
457	338	400
458	338	399
459	339	398
460	340	397
461	340	396
462	341	396
463	342	395
464	342	394
465	343	393
466	344	393
467	345	392
468	345	391
469	346	390
470	347	390
471	348	389
472	348	388
473	349	387
474	349	386
475	350	386
476	351	385
477	351	384
478	352	383
479	353	382
480	353	381
481	354	381
482	355	380
483	355	379
484	356	378
485	357	377
486	357	376
487	358	376
488	359	375
489	360	374
490	360	374
491	361	373
492	362	372
493	362	371
494	363	370
495	364	370
496	364	369
497	365	368
498	366	367
499	366	366
500	367	365
501	368	365
502	368	364
503	369	363
504	370	362
505	370	361
506	371	361
507	371	360
508	372	359
509	373	358
510	374	358
511	374	357
512	375	356
513	376	355
514	377	355
515	378	354
516	378	354
517	379	353
518	380	352
519	381	351
520	381	351
521	382	350
522	383	349
523	383	348
524	384	347
525	385	347
526	386	346
527	386	345
528	387	344
529	388	344
530	389	343
531	389	342
532	390	342
533	391	341
534	392	340
535	393	340
536	393	339
537	394	339
538	395	338
539	396	337
540	397	336
541	397	336
542	398	335
543	399	334
544	399	333
545	400	333
546	401	332
547	402	331
548	402	330
549	403	330
550	404	329
551	405	328
552	406	328
553	406	327
554	407	326
555	408	326
556	409	325
557	410	325
558	411	324
559	411	323
560	412	322
561	413	322
562	413	321
563	414	320
564	415	319
565	416	319
566	416	318
567	417	317
568	418	316
569	419	316
570	420	315
571	420	314
572	421	314
573	422	313
574	423	312
575	424	312
576	424	311
577	425	310
578	426	309
579	426	309
580	427	308
581	428	307
582	429	306
583	429	306
584	430	305
585	431	304
586	432	303
587	432	303
588	433	302
589	434	301
590	435	301
591	435	300
592	436	299
593	436	298
594	437	297
595	438	297
596	439	296
597	439	295
598	440	294
599	441	294
600	441	293
601	442	292
602	443	291
603	443	290
604	444	290
605	444	289
606	445	288
607	446	287
608	446	286
609	447	286
610	448	285
611	449	284
612	449	284
613	450	283
614	451	282
615	452	281
616	453	281
617	453	280
618	454	279
619	455	279
620	456	278
621	456	277
622	457	276
623	458	276
624	459	275
625	459	274
626	460	274
627	461	273
628	462	272
629	463	271
630	463	271
631	464	270
632	465	269
633	466	269
634	466	268
635	467	267
636	468	266
637	469	266
638	469	265
639	470	264
640	471	263
641	472	263
642	472	262
643	473	261
644	474	261
645	474	260
646	475	259
647	476	258
648	477	258
649	477	257
650	478	256
651	479	255
652	480	255
653	481	254
654	481	253
655	482	253
656	483	252
657	483	251
658	484	250
659	485	249
660	486	249
661	486	248
662	487	247
663	488	246
664	488	246
665	489	245
666	490	244
667	490	243
668	491	243
669	492	242
670	493	241
671	494	241
672	494	240
673	495	239
674	496	238
675	497	238
676	497	237
677	498	236
678	499	235
679	499	235
680	500	234
681	501	233
682	501	232
683	502	232
684	503	231
685	504	230
686	504	229
687	505	229
688	506	228
689	507	227
690	507	227
691	508	226
692	509	225
693	510	224
694	510	224
695	511	223
696	512	222
697	512	221
698	513	221
699	514	220
700	515	219
701	515	218
702	516	218
703	517	217
704	517	216
705	518	215
706	519	215
707	520	214
708	520	213
709	521	213
710	522	212
711	523	211
712	523	210
713	524	210
714	525	209
715	525	208
716	526	207
717	527	207
718	527	206
719	528	205
720	529	204
721	529	204
722	530	203
723	531	202
724	531	201
725	532	201
726	533	200
727	534	199
728	534	198
729	535	198
730	536	197
731	537	196
732	538	196
733	538	195
734	539	194
735	540	193
736	540	192
737	541	192
738	542	191
739	542	190
740	543	190
741	544	189
742	545	188
743	545	187
744	546	187
745	547	186
746	548	185
747	548	184
748	549	184
749	550	183
750	551	182
751	551	182
752	552	181
753	553	180
754	554	179
755	554	179
756	555	178
757	556	177
758	556	176
759	557	176
760	558	175
761	558	174
762	559	173
763	559	172
764	560	172
765	561	171
766	561	170
767	562	169
768	563	169
769	563	168
770	564	167
771	565	166
772	565	166
773	566	165
774	567	164
775	568	164
776	568	163
777	569	162
778	570	161
779	571	161
780	571	160
781	572	159
782	573	158
783	574	158
784	575	157
785	575	156
786	576	156
787	577	155
788	578	154
789	578	153
790	579	153
791	580	152
792	580	151
793	581	150
794	582	150
795	583	149
796	583	148
797	584	147
798	585	147
799	585	146
800	586	145
801	587	144
802	587	144
803	588	143
804	589	142
805	589	141
806	590	141
807	591	140
808	591	139
809	592	138
810	593	138
811	593	137
812	594	136
813	595	135
814	595	135
815	596	134
816	597	133
817	598	133
818	598	132
819	599	131
820	600	130
821	601	130
822	601	129
823	602	128
824	603	127
825	604	127
826	604	126
827	605	125
828	606	125
829	606	124
830	607	123
831	608	122
832	609	122
833	609	121
834	610	120
835	611	119
836	612	119
837	612	118
838	613	117
839	614	117
840	615	116
841	615	115
842	616	114
843	617	114
844	618	113
845	618	112
846	619	111
847	620	111
848	620	110
849	621	109
850	622	108
851	623	108
852	623	107
853	624	106
854	625	106
855	626	105
856	626	104
857	627	103
858	628	103
859	629	102
860	630	101
861	630	100
862	631	100
863	632	99
864	633	98
865	633	98
866	634	97
867	635	96
868	635	95
869	636	95
870	637	94
871	637	93
872	638	92
873	639	92
874	640	91
875	640	90
876	641	90
877	642	89
878	643	88
879	643	87
880	644	87
881	645	86
882	645	85
883	646	84
884	647	84
885	647	83
886	648	82
887	648	81
888	649	81
889	650	80
890	650	79
891	651	78
892	652	78
893	652	77
894	653	76
895	654	75
896	654	75
897	655	74
898	656	73
899	657	73
900	658	72
901	658	71
902	659	70
903	660	70
904	661	69
905	661	68
906	662	67
907	663	67
908	664	66
909	664	65
910	665	65
911	666	64
912	666	63
913	667	62
914	668	62
915	669	61
916	670	60
917	671	59
918	672	59
919	672	58
920	673	57
921	674	57
922	675	56
923	675	55
924	676	54
925	677	54
926	677	53
927	678	52
928	679	51
929	680	51
930	680	50
931	681	49
932	682	48
933	682	48
934	683	47
935	684	46
936	684	46
937	685	45
938	686	44
939	687	43
940	687	43
941	688	42
942	689	41
943	690	40
944	691	40
945	691	39
946	692	38
947	693	38
948	693	37
949	694	36
950	695	35
951	696	35
952	696	34
953	697	33
954	698	32
955	699	32
956	699	31
957	700	30
958	701	29
959	702	29
960	702	28
961	703	27
962	704	27
963	705	26
964	705	25
965	706	24
966	707	24
967	707	23
968	708	22
969	709	21
970	710	21
971	710	20
972	711	19
973	712	19
974	712	18
975	713	17
976	713	16
977	714	16
978	715	15
979	716	14
980	717	13
981	717	13
982	718	12
983	719	11
984	719	10
985	720	10
986	721	9
987	722	8
988	722	8
989	723	7
990	724	6
991	724	5
992	725	5
993	726	4
994	726	3
995	727	2
996	727	2
997	728	1
998	729	0
999	730	0
